UMLS CUI [1],UMLS subject label,UMLS Predicate [2],UMLS CUI,UMLS object label,Confidence
C0038454,Cerebrovascular accident,PROCESS_OF,C0030705,Patients,0.89
C0005967,Bone neoplasms,CAUSES,C0030472,Paraneoplastic Syndromes,1.00
C0005967,Bone neoplasms,CAUSES,C1458156,Recurrent Malignant Neoplasm,0.94
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",PROCESS_OF,C0030705,Patients,0.90
C0031046,Pericarditis,PROCESS_OF,C0599755,cohort,0.89
C0032226,Pleural Diseases,PROCESS_OF,C0030705,Patients,0.91
C0032226,Pleural Diseases,COEXISTS_WITH,C0013687,effusion,0.95
C0376358,Malignant neoplasm of prostate,PROCESS_OF,C0025266,Male population group,1.00
C0376358,Malignant neoplasm of prostate,COEXISTS_WITH,C0006142,Malignant neoplasm of breast,0.91
C0376358,Malignant neoplasm of prostate,PROCESS_OF,C0030705,Patients,0.96
C0206062,"Lung Diseases, Interstitial",COEXISTS_WITH,C0007097,Carcinoma,0.90
C0206062,"Lung Diseases, Interstitial",PREDISPOSES,C1458156,Recurrent Malignant Neoplasm,0.93
C0206062,"Lung Diseases, Interstitial",PROCESS_OF,C0030705,Patients,0.95
C0206062,"Lung Diseases, Interstitial",COEXISTS_WITH,C0242379,Malignant neoplasm of lung,1.00
C0003949,Asbestosis,PREDISPOSES,C1377913,Pleural Mesothelioma,1.00
C0023418,leukemia,ISA,C0006826,Malignant Neoplasms,0.94
C0023418,leukemia,CAUSES,C0007131,Non-Small Cell Lung Carcinoma,0.85
C0023418,leukemia,CAUSES__SPEC__,C0278504,stage I non-small cell lung cancer,0.85
C0023418,leukemia,PROCESS_OF,C0015576,Family,0.93
C0023434,Chronic Lymphocytic Leukemia,COEXISTS_WITH,C0006826,Malignant Neoplasms,1.00
C0023434,Chronic Lymphocytic Leukemia,COEXISTS_WITH,C0027651,Neoplasms,1.00
C0023434,Chronic Lymphocytic Leukemia,ISA,C0027651,Neoplasms,0.93
C0032285,Pneumonia,PROCESS_OF,C0599755,cohort,0.93
C0032285,Pneumonia,PROCESS_OF,C0026809,Mus,0.81
C0032285,Pneumonia,ISA,C0009566,Complication,0.82
C0032285,Pneumonia,AFFECTS__SPEC__,C0030705,Patients,0.82
C0032285,Pneumonia,AFFECTS,C0242379,Malignant neoplasm of lung,0.91
C0032285,Pneumonia,PROCESS_OF,C0030705,Patients,0.96
C0023522,"Leukodystrophy, Metachromatic",PROCESS_OF,C0027361,Persons,0.90
C0023522,"Leukodystrophy, Metachromatic",PROCESS_OF,C0599755,cohort,1.00
C0020538,Hypertensive disease,PROCESS_OF,C0030705,Patients,1.00
C0040188,Tic disorder,COEXISTS_WITH,C0007131,Non-Small Cell Lung Carcinoma,0.93
C0040188,Tic disorder,AFFECTS,C0007621,Neoplastic Cell Transformation,0.88
C0020456,Hyperglycemia,PROCESS_OF,C0030705,Patients,1.00
C0341703,Adult Fanconi syndrome,PROCESS_OF,C0030705,Patients,0.92
C0341703,Adult Fanconi syndrome,PROCESS_OF,C0599755,cohort,0.90
C0341703,Adult Fanconi syndrome,COEXISTS_WITH,C0265338,Coffin-Siris syndrome,0.86
C0035078,Kidney Failure,PROCESS_OF,C0030705,Patients,0.95
C0085580,Essential Hypertension,PROCESS_OF,C0086418,Homo sapiens,1.00
C0040034,Thrombocytopenia,PROCESS_OF,C0030705,Patients,0.95
C0002871,Anemia,PROCESS_OF,C0030705,Patients,0.92
C0036202,Sarcoidosis,ISA,C0011900,Diagnosis,0.95
C0036202,Sarcoidosis,COEXISTS_WITH,C0242379,Malignant neoplasm of lung,0.82
C0036202,Sarcoidosis,ISA,C1882062,Neoplastic disease,0.78
C0036202,Sarcoidosis,AFFECTS,C1817882,Granuloma formation,0.79
C1535939,Pneumocystis jiroveci pneumonia,PROCESS_OF,C0033131,Primary Care Physicians,0.86
C0007177,Cardiac Tamponade,PROCESS_OF,C0030705,Patients,0.87
C0362046,Prediabetes syndrome,PROCESS_OF,C0030705,Patients,1.00
C0014868,Esophagitis,PROCESS_OF,C0599755,cohort,0.86
C0028754,Obesity,PROCESS_OF,C0679646,Participant,0.89
C0028754,Obesity,COEXISTS_WITH,C0362046,Prediabetes syndrome,1.00
C0028754,Obesity,PROCESS_OF,C0030705,Patients,1.00
C0028754,Obesity,COEXISTS_WITH,C3854130,T2d,1.00
C0035372,Rett Syndrome,AFFECTS,C0030705,Patients,0.86
C0035372,Rett Syndrome,COEXISTS_WITH,C0006826,Malignant Neoplasms,0.86
C0035372,Rett Syndrome,AFFECTS,C3843196,3 to 5 days,0.94
C0035372,Rett Syndrome,AFFECTS,C3843197,1-2 days,0.90
C0034069,Pulmonary Fibrosis,PROCESS_OF,C0030705,Patients,0.97
C0004096,Asthma,PROCESS_OF,C0078988,Asians,1.00
C0004096,Asthma,PROCESS_OF,C0030705,Patients,0.93
C0004096,Asthma,PREDISPOSES,C0001418,Adenocarcinoma,0.93
C0004096,Asthma,PREDISPOSES,C0242379,Malignant neoplasm of lung,1.00
C0035305,Retinal Detachment,PART_OF,C0027627,Neoplasm Metastasis,0.90
C0035305,Retinal Detachment,PART_OF,C0030705,Patients,0.89
C0002878,"Anemia, Hemolytic",PROCESS_OF,C0030705,Patients,1.00
C0020542,Pulmonary Hypertension,CAUSES,C0034063,Pulmonary Edema,0.95
C0020542,Pulmonary Hypertension,PROCESS_OF,C0043210,Woman,0.89
C0042133,Uterine Fibroids,CAUSES,C2939419,Secondary Neoplasm,0.99
C0162568,Erythropoietic Protoporphyria,PROCESS_OF,C0030705,Patients,0.89
C0162568,Erythropoietic Protoporphyria,ISA,C0009566,Complication,0.95
C0036205,"Sarcoidosis, Pulmonary",PROCESS_OF,C0030705,Patients,0.93
C0311223,Frozen shoulder,PROCESS_OF,C0030705,Patients,0.79
C0026848,Myopathy,PROCESS_OF,C0030705,Patients,1.00
C1458155,Mammary Neoplasms,ISA,C0006826,Malignant Neoplasms,0.79
C0153661,Malignant neoplasm of thorax,PROCESS_OF,C0030705,Patients,1.00
C0206720,Squamous Cell Neoplasms,PART_OF,C0024109,Lung,0.92
C1514428,Primary peritoneal carcinoma,AFFECTS,C0030705,Patients,0.94
C1514428,Primary peritoneal carcinoma,PROCESS_OF,C0030705,Patients,0.93
C1514428,Primary peritoneal carcinoma,ISA,C0006826,Malignant Neoplasms,0.88
C1514428,Primary peritoneal carcinoma,OCCURS_IN,C0030705,Patients,0.86
C0206695,"Carcinoma, Neuroendocrine",PART_OF,C0024109,Lung,0.90
C0023374,Lesch-Nyhan Syndrome,PROCESS_OF,C0030705,Patients,0.89
C0265338,Coffin-Siris syndrome,PROCESS_OF,C0030705,Patients,1.00
C1527249,Colorectal Cancer,PART_OF,C0086282,Family member,1.00
C1527249,Colorectal Cancer,ISA,C0006826,Malignant Neoplasms,0.96
C1527249,Colorectal Cancer,PROCESS_OF,C0030705,Patients,0.95
C1527249,Colorectal Cancer,PROCESS_OF,C0025266,Male population group,1.00
C0149978,Adenocarcinoma of rectum,ISA,C0027651,Neoplasms,0.94
C0149978,Adenocarcinoma of rectum,PART_OF__SPEC__,C0024109,Lung,0.95
C0149978,Adenocarcinoma of rectum,ISA,C3472375,Primary malignant adenomatous neoplasm,0.95
C0020459,Hyperinsulinism,AFFECTS,C2939419,Secondary Neoplasm,0.95
C0020459,Hyperinsulinism,COEXISTS_WITH,C3854130,T2d,0.94
C0020459,Hyperinsulinism,COEXISTS_WITH,C0362046,Prediabetes syndrome,0.94
C0020459,Hyperinsulinism,COEXISTS_WITH,C0028754,Obesity,0.94
C0349557,Gestational choriocarcinoma,ISA,C0011900,Diagnosis,0.96
C0349557,Gestational choriocarcinoma,PART_OF,C1514845,Renal Tissue,0.96
C0740457,Malignant neoplasm of kidney,PRECEDES,C0153685,Secondary malignant neoplasm of kidney,0.98
C0600260,"Lung Diseases, Obstructive",PROCESS_OF,C0030705,Patients,0.98
C0600260,"Lung Diseases, Obstructive",COEXISTS_WITH,C0028778,Obstruction,0.94
C0936248,Chondroma,PART_OF,C0024109,Lung,0.87
C0936248,Chondroma,COEXISTS_WITH,C0260037,Multiple tumors,0.89
C1334699,Mesenchymal Cell Neoplasm,PART_OF,C0024109,Lung,1.00
C1334699,Mesenchymal Cell Neoplasm,PROCESS_OF,C0020205,Hybrids,1.00
C0025500,Mesothelioma,ISA,C0006826,Malignant Neoplasms,0.86
C0025500,Mesothelioma,ISA,C0011900,Diagnosis,0.85
C0025500,Mesothelioma,PROCESS_OF,C0030705,Patients,0.94
C0025500,Mesothelioma,PROCESS_OF,C2986594,Mouse Model,0.90
C0025500,Mesothelioma,PROCESS_OF,C1516213,Cancer Patient,0.90
C0025500,Mesothelioma,PROCESS_OF,C2348484,Exposed Population,0.95
C0025500,Mesothelioma,PROCESS_OF,C0086418,Homo sapiens,0.89
C0025500,Mesothelioma,MANIFESTATION_OF,C0012634,Disease,0.94
C0027086,Myoma,ISA,C0006826,Malignant Neoplasms,1.00
C0001422,Adenofibroma,ISA,C0221198,Lesion,0.89
C0001422,Adenofibroma,PART_OF__SPEC__,C0024109,Lung,0.94
C0001422,Adenofibroma,ISA,C0206649,"Neoplasms, Fibroepithelial",0.87
C0001422,Adenofibroma,PART_OF,C0024109,Lung,0.88
C0037579,Soft Tissue Neoplasms,PROCESS_OF,C0238598,Young Adult,0.96
C0037579,Soft Tissue Neoplasms,PROCESS_OF,C0008059,Child,0.96
C0041327,"Tuberculosis, Pulmonary",PROCESS_OF,C0030705,Patients,0.92
C0041327,"Tuberculosis, Pulmonary",ISA,C0041296,Tuberculosis,0.86
C0041295,Tuberculoma,PROCESS_OF,C0030705,Patients,0.87
C0001418,Adenocarcinoma,PART_OF,C0222045,Integumentary scale,0.86
C0001418,Adenocarcinoma,PART_OF,C0086418,Homo sapiens,0.71
C0001418,Adenocarcinoma,PART_OF,C0318356,Human virus,0.68
C0001418,Adenocarcinoma,PART_OF,C0024109,Lung,0.87
C0001418,Adenocarcinoma,ISA,C0221198,Lesion,0.83
C0001418,Adenocarcinoma,ISA,C0011900,Diagnosis,0.86
C0001418,Adenocarcinoma,ISA,C0027651,Neoplasms,0.88
C0001418,Adenocarcinoma,PROCESS_OF,C0026809,Mus,0.97
C0001418,Adenocarcinoma,PROCESS_OF,C0599755,cohort,0.90
C0001418,Adenocarcinoma,PROCESS_OF,C0025936,"Mice, Transgenic",0.79
C0001418,Adenocarcinoma,PROCESS_OF,C0086418,Homo sapiens,0.89
C0001418,Adenocarcinoma,PROCESS_OF,C0026882,Mutation,0.93
C0001418,Adenocarcinoma,PROCESS_OF,C1079230,Subgroup A Nepoviruses,0.89
C0001418,Adenocarcinoma,PROCESS_OF,C0684312,Drivers of Vehicles,0.87
C0001418,Adenocarcinoma,PROCESS_OF,C0030705,Patients,0.88
C0001418,Adenocarcinoma,PROCESS_OF,C0016163,Fishes,0.89
C0001418,Adenocarcinoma,PRODUCES,C0819757,Structure of parenchyma of lung,0.88
C0001418,Adenocarcinoma,PRODUCES,C1101610,MicroRNAs,0.78
C0001418,Adenocarcinoma,PRODUCES,C0040300,Body tissue,0.89
C0001418,Adenocarcinoma,PRODUCES,C1423717,OGFR gene,0.93
C0001418,Adenocarcinoma,PRODUCES,C1540292,CD274 gene,0.87
C0001418,Adenocarcinoma,PRODUCES,C1419396,RMRP gene,0.83
C0001418,Adenocarcinoma,COEXISTS_WITH,C0027626,Neoplasm Invasiveness,1.00
C0001418,Adenocarcinoma,COEXISTS_WITH,C0686619,Secondary malignant neoplasm of lymph node,0.93
C0001418,Adenocarcinoma,COEXISTS_WITH,C0012634,Disease,0.87
C0001418,Adenocarcinoma,AFFECTS,C0030705,Patients,0.93
C0001418,Adenocarcinoma,AFFECTS,C0007621,Neoplastic Cell Transformation,0.89
C0001418,Adenocarcinoma,AFFECTS,C0026882,Mutation,0.93
C0001418,Adenocarcinoma,AFFECTS,C0024109,Lung,0.94
C0001418,Adenocarcinoma,CAUSES,C0242379,Malignant neoplasm of lung,1.00
C0001418,Adenocarcinoma,OCCURS_IN,C0599755,cohort,0.89
C0001418,Adenocarcinoma,OCCURS_IN,C0030705,Patients,0.89
C0001418,Adenocarcinoma,PROCESS_OF__SPEC__,C0078988,Asians,0.86
C1176475,Ductal Carcinoma,PROCESS_OF,C0030705,Patients,1.00
C1176475,Ductal Carcinoma,PART_OF,C0222600,Right breast,1.00
C0206685,Acinar Cell Carcinoma,ISA,C0027651,Neoplasms,0.96
C0206685,Acinar Cell Carcinoma,PART_OF,C0024109,Lung,0.96
C0020517,Hypersensitivity,CAUSES,C0036202,Sarcoidosis,0.82
C0024117,Chronic Obstructive Airway Disease,PROCESS_OF,C0026809,Mus,0.92
C0024117,Chronic Obstructive Airway Disease,COMPLICATES,C0684249,Carcinoma of lung,0.83
C0024117,Chronic Obstructive Airway Disease,PROCESS_OF,C0030705,Patients,0.94
C0024117,Chronic Obstructive Airway Disease,ISA,C0009566,Complication,0.91
C0024117,Chronic Obstructive Airway Disease,PROCESS_OF,C0870602,geriatric patients,1.00
C0024117,Chronic Obstructive Airway Disease,PROCESS_OF,C0025921,"Mice, Inbred C57BL",0.96
C0024117,Chronic Obstructive Airway Disease,PREDISPOSES,C0242379,Malignant neoplasm of lung,0.96
C0024117,Chronic Obstructive Airway Disease,ISA,C0600260,"Lung Diseases, Obstructive",0.85
C0553723,Squamous cell carcinoma of skin,COEXISTS_WITH,C0007131,Non-Small Cell Lung Carcinoma,0.93
C0025202,melanoma,PART_OF,C1281569,Entire colon,0.93
C0025202,melanoma,PART_OF,C1305188,Right colon,0.93
C0025202,melanoma,PART_OF,C1279548,Entire right thigh,1.00
C0025202,melanoma,ISA,C0027651,Neoplasms,0.91
C0025202,melanoma,ISA,C0006826,Malignant Neoplasms,1.00
C0025202,melanoma,PROCESS_OF,C0030705,Patients,0.93
C0025202,melanoma,PROCESS_OF,C0031831,Physicians,0.72
C0025202,melanoma,PROCESS_OF,C0599755,cohort,0.89
C0025202,melanoma,PROCESS_OF,C0026809,Mus,1.00
C0025202,melanoma,PRODUCES,C1417695,NFATC2 gene,0.89
C0025202,melanoma,COEXISTS_WITH,C0242379,Malignant neoplasm of lung,1.00
C0025202,melanoma,COEXISTS_WITH,C0025500,Mesothelioma,1.00
C0040100,Thymoma,AFFECTS,C0232804,Renal function,1.00
C0205969,Thymic Carcinoma,PROCESS_OF,C1079230,Subgroup A Nepoviruses,0.89
C0205969,Thymic Carcinoma,PROCESS_OF,C0030705,Patients,1.00
C0206633,Angiomyolipoma,AFFECTS,C0018787,Heart,0.95
C0021141,Inappropriate ADH Syndrome,ISA,C0011900,Diagnosis,0.89
C0021141,Inappropriate ADH Syndrome,PROCESS_OF,C0030705,Patients,0.97
C0858252,Breast adenocarcinoma,PROCESS_OF,C0086418,Homo sapiens,0.89
C0281361,Adenocarcinoma of pancreas,PROCESS_OF,C0030705,Patients,0.90
C0262401,Carcinoma of ampulla of Vater,PROCESS_OF,C0030705,Patients,0.97
C0235974,Pancreatic carcinoma,PROCESS_OF,C0027361,Persons,0.98
C0235974,Pancreatic carcinoma,PART_OF,C0086282,Family member,1.00
C0235974,Pancreatic carcinoma,AFFECTS,C0178874,Tumor Progression,1.00
C0235974,Pancreatic carcinoma,PROCESS_OF,C1520166,Xenograft Model,0.89
C0235974,Pancreatic carcinoma,PROCESS_OF,C0030705,Patients,0.95
C0948216,Ovarian adenocarcinoma,PROCESS_OF,C0086418,Homo sapiens,0.79
C0206743,Rhabdoid Tumor,PART_OF,C0023884,Liver,1.00
C0085269,"Plasma Cell Granuloma, Pulmonary",PROCESS_OF,C0008059,Child,1.00
C0085269,"Plasma Cell Granuloma, Pulmonary",PROCESS_OF,C0030705,Patients,0.93
C0007121,Bronchogenic Carcinoma,ISA,C0011900,Diagnosis,0.90
C0007121,Bronchogenic Carcinoma,PROCESS_OF,C0015031,Ethnic group,1.00
C0684249,Carcinoma of lung,ISA,C0006826,Malignant Neoplasms,0.93
C0149782,Squamous cell carcinoma of lung,AFFECTS,C0030705,Patients,0.94
C0149782,Squamous cell carcinoma of lung,ISA,C0007131,Non-Small Cell Lung Carcinoma,0.84
C0149782,Squamous cell carcinoma of lung,AFFECTS,C0024687,Mandible,0.94
C0149782,Squamous cell carcinoma of lung,ISA,C0007097,Carcinoma,0.75
C0007131,Non-Small Cell Lung Carcinoma,PART_OF,C0030705,Patients,0.97
C0007131,Non-Small Cell Lung Carcinoma,PART_OF,C0086282,Family member,1.00
C0007131,Non-Small Cell Lung Carcinoma,PART_OF,C0796494,lobe,0.89
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0242379,Malignant neoplasm of lung,0.95
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0011900,Diagnosis,0.89
C0007131,Non-Small Cell Lung Carcinoma,ISA,C1266002,Non-small cell carcinoma,0.88
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0012634,Disease,0.90
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0006826,Malignant Neoplasms,0.91
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0221198,Lesion,0.89
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0007097,Carcinoma,0.94
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0280100,solid tumor,0.97
C0007131,Non-Small Cell Lung Carcinoma,ISA,C0027651,Neoplasms,0.85
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0001675,Adult,0.84
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0599755,cohort,0.87
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1520166,Xenograft Model,0.89
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1079230,Subgroup A Nepoviruses,0.89
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1516213,Cancer Patient,0.93
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0086418,Homo sapiens,0.94
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0150094,CONSECUTIVE SAMPLE,0.82
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0679646,Participant,0.79
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0040297,Tissue Survival,0.73
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C2700280,World,0.97
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C2986594,Mouse Model,0.86
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0034693,Rattus norvegicus,1.00
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0026809,Mus,1.00
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1999167,Old age,0.90
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0016163,Fishes,0.98
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1708335,Healthy Volunteers,0.95
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0870602,geriatric patients,0.90
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C0030705,Patients,0.90
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF,C1514559,Protein Overexpression,0.87
C0007131,Non-Small Cell Lung Carcinoma,PRODUCES,C1540292,CD274 gene,0.93
C0007131,Non-Small Cell Lung Carcinoma,PRODUCES,C3203086,"Antigens, CD274",0.89
C0007131,Non-Small Cell Lung Carcinoma,PRODUCES,C0017337,Genes,0.88
C0007131,Non-Small Cell Lung Carcinoma,PRODUCES,C0040300,Body tissue,0.94
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH,C0149925,Small cell carcinoma of lung,1.00
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH,C0006826,Malignant Neoplasms,0.97
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH,C0023418,leukemia,0.84
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH,C0012634,Disease,1.00
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH,C0242379,Malignant neoplasm of lung,0.97
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C0027627,Neoplasm Metastasis,0.97
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C0013203,Drug resistance,1.00
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C2939419,Secondary Neoplasm,1.00
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C0679646,Participant,0.90
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C0242656,Disease Progression,0.94
C0007131,Non-Small Cell Lung Carcinoma,AFFECTS,C0030705,Patients,0.96
C0007131,Non-Small Cell Lung Carcinoma,CAUSES,C0027651,Neoplasms,1.00
C0007131,Non-Small Cell Lung Carcinoma,OCCURS_IN,C0030705,Patients,0.93
C0007131,Non-Small Cell Lung Carcinoma,COEXISTS_WITH__SPEC__,C0037083,Signal Transduction,0.84
C0007131,Non-Small Cell Lung Carcinoma,PART_OF__SPEC__,C0026809,Mus,0.81
C0007131,Non-Small Cell Lung Carcinoma,MANIFESTATION_OF,C0011065,Cessation of life,0.76
C0007131,Non-Small Cell Lung Carcinoma,MANIFESTATION_OF,C3544385,pro-survival,0.95
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF__SPEC__,C2700280,World,0.94
C0007131,Non-Small Cell Lung Carcinoma,PROCESS_OF__SPEC__,C0030705,Patients,0.93
C0007131,Non-Small Cell Lung Carcinoma,OCCURS_IN__SPEC__,C2700280,World,1.00
C0206682,Follicular thyroid carcinoma,ISA,C1337013,Differentiated Thyroid Gland Carcinoma,0.92
C0205697,"Carcinoma, Spindle-Cell",PART_OF,C0024109,Lung,0.91
C0205945,"Sarcoma, Spindle Cell",PART_OF,C0024109,Lung,1.00
C1135873,"Choriocarcinoma, Non-gestational",PART_OF,C1514845,Renal Tissue,0.96
C0162830,"Dermatitis, Phototoxic",PROCESS_OF,C0026809,Mus,0.83
C0007134,Renal Cell Carcinoma,PROCESS_OF,C0030705,Patients,0.98
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,PART_OF__SPEC__,C0024109,Lung,0.95
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,PROCESS_OF,C0086418,Homo sapiens,0.84
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,ISA,C0027651,Neoplasms,0.94
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,ISA,C3472375,Primary malignant adenomatous neoplasm,0.95
C0206704,"Carcinoma, Large Cell",PART_OF,C0024109,Lung,0.89
C0206704,"Carcinoma, Large Cell",ISA,C0007097,Carcinoma,0.89
C0206704,"Carcinoma, Large Cell",PROCESS_OF,C0030705,Patients,0.82
C1266144,Pleuropulmonary blastoma,PROCESS_OF,C0030705,Patients,0.94
C0206623,Adenosquamous carcinoma,ISA,C0007137,Squamous cell carcinoma,1.00
C0334699,Malignant myoepithelioma,PROCESS_OF,C0043210,Woman,0.89
C0007120,Bronchioloalveolar Adenocarcinoma,PART_OF,C0222045,Integumentary scale,0.89
C0007120,Bronchioloalveolar Adenocarcinoma,PROCESS_OF,C0026809,Mus,0.90
C0334276,Adenocarcinoma in Situ,ISA,C0001418,Adenocarcinoma,0.89
C0007099,Carcinoma in Situ,PROCESS_OF,C0027361,Persons,0.98
