UMLS CUI,UMLS subject label,Custom predicate,Article PubMed ID,Article Title,Confidence
C0332173,Daily,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C3536832,Air,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0333598,Deposition of asbestos fibers,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0040395,tomography,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C1514739,Reactive mesothelial cells,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0001801,agglutination,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0085576,Iron-Refractory Iron Deficiency Anemia,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0442034,peritoneal,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0013404,Dyspnea,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0220870,Lightheadedness,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0449327,Method of biopsy,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0201539,Alpha one fetoprotein measurement,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1446409,Positive,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0030054,Oxygen,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0017189,Gastrointestinal tract structure,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0018800,Cardiomegaly,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C0023103,Latency Period (Psychology),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.84
C0001418,Adenocarcinoma,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0030446,Paralytic Ileus,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0682589,solid viscera,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0007584,Cell Count,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1882365,Phenomenon,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0032290,Aspiration Pneumonia,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1955333,Multiple markers,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0391850,Physiologic pulse,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C1547247,Packed Cells,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C1511481,Consent,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0021368,Inflammation,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205271,Irregular,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C0205402,Prominent,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0007082,Carcinoembryonic Antigen,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0000726,Abdomen,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C3853628,Granule,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.85
C0023884,Liver,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0019029,Hemoglobin concentration result,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.82
C1706276,Near,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0301842,Warm antibody,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0086582,Males,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.78
C0030232,Pallor,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0003964,Peritoneal Fluid (body substance),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205471,Cytologic,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C1441055,Paraneoplastic,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0346109,Malignant Mesothelioma of Peritoneum,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C1261473,Sarcoma,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0439475,mmHg,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C0427743,"Glucose concentration, test strip measurement",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0002903,Anesthesia procedures,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1275372,Finding of serum tumor marker level,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.99
C0206701,"Cystadenocarcinoma, Serous",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0349707,Aspiration-action,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1306577,Death (finding),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C0700364,Appearance,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C3814778,Hemolytic Index,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0034108,"Oximetry, Pulse",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0011906,Differential Diagnosis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0032227,Pleural effusion disorder,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0333348,inflammatory,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0007320,Case Reports Publication Type,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0580836,Old,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.78
C0520736,Coombs positive hemolytic anemia,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205373,Systemic,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0005558,Biopsy,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0521009,Bacterial,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0597032,Neoplastic Cell,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0332174,Weekly,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0332271,Worsening pattern,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0015388,Exudate,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C3532188,Refractory ascites,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0017649,Globulins,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0427498,Serum haptoglobin measurement,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.82
C0038002,Splenomegaly,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C2986586,Median Survival Time,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0010397,Crutches,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0221198,Lesion,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0018684,Health,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0439234,year,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.78
C0228014,Tunica vaginalis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0001924,Albumins,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0022646,Kidney,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0582205,Utilities (organization),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C3826648,Blood--Examination,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0014792,Erythrocytes,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0023866,Literature,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205393,Most,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.85
C0230168,Abdominal Cavity,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0003618,Desire for food,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0014406,Environment,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0205462,Histologic,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.85
C1441616,Immunohistochemical,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0728938,Partial,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.66
C0439269,mg/dL,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0020541,"Hypertension, Portal",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0005889,Body Fluids,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0035203,Respiration,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0020962,Immune system,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0817096,Chest,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0439385,beats per minute,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0449450,Presentation,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0024264,Lymphocyte,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C0004398,Autopsy,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0043227,Work,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0019665,Historical aspects qualifier,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0027950,neutrophil,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0524587,Mean Corpuscular Volume (result),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.81
C0003947,Asbestos,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0085695,Chronic gastritis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0054544,calretinin,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0518609,consideration,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C3665623,Serum albumin level decreased below normal (finding),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0039597,Testis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1299586,Has difficulty doing (qualifier value),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0332240,Unknown (origin) (qualifier value),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1880157,Computation (action),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
C0740992,anemia hemoglobin,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0205400,Thickened,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0184967,Insertion of pack (procedure),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0019993,Hospitalization,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0025500,Mesothelioma,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0000731,Abdomen distended,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C2711642,Serum ascites albumin gradient,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.93
C1519183,Sarcomatoid Features,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0750430,work up,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.84
C0681755,1960s,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0220656,Malignant ascites,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0597815,crystal healing,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0225335,Mesothelial cell,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205184,Biphasic,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0015127,Etiology aspects,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0031153,Peritoneum,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0035648,risk factors,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.82
C1318312,Serum iron measurement,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0518766,Vital signs,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0017119,Gastric Acid,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0541911,Dullness,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C1264047,Disorder of intra-abdominal lymph nodes,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0242073,Pulmonary congestion,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0032225,Pleura,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0028259,Nodule,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0031142,Peritoneal Diseases,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C3151529,Lethal,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0016884,Future,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0020538,Hypertensive disease,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0042036,Urine,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0022341,Japan,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0019994,Hospitals,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0380162,mesothelin,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0441886,Class 2,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0005903,Body Temperature,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0001511,Tissue Adhesions,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0159060,Abnormal bowel sounds,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0234233,Sore to touch,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0750572,Estimated,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.84
C0037791,Specificity,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0264458,Pneumonitis due to fumes AND/OR vapors,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C0034115,Paracentesis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205145,Site,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.85
C0230185,Epigastrium,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0071214,plasma protein fraction,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.98
C0456853,CT guided biopsy,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0345967,Malignant mesothelioma,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C2346469,Image Feature,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.88
C0006613,CA-19-9 Antigen,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0439742,Scattered,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.85
C0001779,Age,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0449432,Component object,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.83
C0002871,Anemia,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0442751,Distance vision 6/9,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0599987,Employee,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C0522523,Percutaneous,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.88
C0031809,Physical Examination,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0232741,Liver function,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1289033,Entire right ear,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
